OG_name	busco_name	Dis_gene_name	Dis_del_num	Did_gene_name	Did_del_num
OG0008322	100085at71240.faa	evm.model.HIC_ASM_3.2415	1	evm.model.HIC_ASM_3.2742	3
OG0009167	100297at71240.faa	evm.model.HIC_ASM_6.1630	0	evm.model.HIC_ASM_7.2118	2
OG0013840	100319at71240.faa	evm.model.HIC_ASM_9.352	5	evm.model.HIC_ASM_0.589	5
OG0007251	100320at71240.faa	evm.model.HIC_ASM_5.1779	0	evm.model.HIC_ASM_6.2282	6
OG0011711	100362at71240.faa	evm.model.HIC_ASM_2.557.1	4	evm.model.HIC_ASM_2.4266.2	5
OG0013992	100415at71240.faa	evm.model.HIC_ASM_9.1252	2	evm.model.HIC_ASM_0.2686	2
OG0008688	100498at71240.faa	evm.model.HIC_ASM_3.593	4	evm.model.HIC_ASM_3.4390	5
OG0013392	100703at71240.faa	evm.model.HIC_ASM_2.3524	4	evm.model.HIC_ASM_8.3945	5
OG0012548	100869at71240.faa	evm.model.HIC_ASM_1.3948	3	evm.model.HIC_ASM_2.1524	2
OG0011462	100993at71240.faa	evm.model.HIC_ASM_4.79	3	evm.model.HIC_ASM_1.111	3
OG0010838	10104at71240.faa	evm.model.HIC_ASM_2.1021	7	evm.model.HIC_ASM_5.4035.1	5
OG0008897	101131at71240.faa	evm.model.HIC_ASM_6.257	2	evm.model.HIC_ASM_7.369.2	0
OG0012299	101189at71240.faa	evm.model.HIC_ASM_4.3591	7	evm.model.HIC_ASM_0.3431	9
OG0013905	101210at71240.faa	evm.model.HIC_ASM_9.818	6	evm.model.HIC_ASM_0.3025	10
OG0015057	10132at71240.faa	evm.model.HIC_ASM_0.5056	5	evm.model.HIC_ASM_1.4241	11
OG0017340	101409at71240.faa	evm.model.HIC_ASM_5.967	1	evm.model.HIC_ASM_6.3052	1
OG0014035	101557at71240.faa	evm.model.HIC_ASM_9.1384	6	evm.model.HIC_ASM_0.2526	10
